,index,word,_score,_pvalue
0,1614,động_cơ,169.3177499128504,1.7862888592556495e-36
1,1440,vận_hành,155.6399197506852,1.5995041713927135e-33
2,430,công_suất,129.0849931318682,8.516359580919385e-28
3,878,mã_lực,108.242433005591,2.621508173402065e-23
4,1345,tài_xế,76.16666666666667,2.0372045930932866e-16
5,995,nên_người,76.16666666666667,2.0372045930932866e-16
6,1520,điều_kiện,76.16666666666667,2.0372045930932866e-16
7,675,hưng_phấn,76.16666666666667,2.0372045930932866e-16
8,713,kb15,76.16666666666667,2.0372045930932866e-16
9,455,cầu,76.16666666666667,2.0372045930932866e-16
10,739,không_thể,76.16666666666667,2.0372045930932866e-16
11,1232,thốc,76.16666666666667,2.0372045930932866e-16
12,233,baic,76.16666666666667,2.0372045930932866e-16
13,594,gài,76.16666666666667,2.0372045930932866e-16
14,24,138,76.16666666666667,2.0372045930932866e-16
15,237,beijing,76.16666666666667,2.0372045930932866e-16
16,1202,thích_thú,76.16666666666667,2.0372045930932866e-16
17,1457,x7,76.16666666666667,2.0372045930932866e-16
18,877,mã_hiệu,76.16666666666667,2.0372045930932866e-16
19,1568,đấu_sĩ,76.16666666666667,2.0372045930932866e-16
20,364,chịu_thua_kém,76.16666666666667,2.0372045930932866e-16
21,863,momen,76.16666666666667,2.0372045930932866e-16
22,792,lanh_lẹ,76.16666666666667,2.0372045930932866e-16
23,902,mỗi,76.16666666666667,2.0372045930932866e-16
24,12,103,76.16666666666667,2.0372045930932866e-16
25,305,cao_tốc,76.16666666666667,2.0372045930932866e-16
26,1562,đường_xá,76.16666666666667,2.0372045930932866e-16
27,1470,xoắn,68.74916749916756,7.907996005364697e-15
28,791,lanh,66.81746031746034,2.0488851076921652e-14
29,70,245,64.14285714285717,7.650482548141335e-14
30,985,nm,62.73618048618055,1.529236844930342e-13
31,488,dung_tích,56.34606999990636,3.543973231170233e-12
32,882,mô,54.57408424908431,8.463915921646923e-12
33,291,bốn,53.11904761904763,1.7292873266250656e-11
34,1478,xy,53.11904761904763,1.7292873266250656e-11
35,742,khả_năng,52.22361430129987,2.683793806671076e-11
36,888,mạnh_mẽ,51.34575430962909,4.12883368844227e-11
37,854,men,49.88787138787144,8.440759175089231e-11
38,1287,trang_bị_động_cơ,43.69740973312406,1.7499029274921165e-09
39,771,kém,42.37871591324279,3.3342667571231138e-09
40,1360,tăng,41.77304025897382,4.482643855716045e-09
41,433,cũ,41.32432103276093,5.581265511415184e-09
42,1221,thẳng,41.03525641025641,6.427574454526917e-09
43,49,188,41.03525641025641,6.427574454526917e-09
44,1018,off,41.03525641025641,6.427574454526917e-09
45,1085,road,41.03525641025641,6.427574454526917e-09
46,290,bốc,41.03525641025641,6.427574454526917e-09
47,453,cầm,37.17540494458653,4.224497103651346e-08
48,1329,trợ_lực,37.17540494458653,4.224497103651346e-08
49,996,nó,37.17540494458653,4.224497103651346e-08
50,830,lần,37.17540494458653,4.224497103651346e-08
51,1191,thành_phố,37.17540494458653,4.224497103651346e-08
52,1495,áp,32.65937930356093,3.800008361037239e-07
53,1158,sức_mạnh,32.418770852822774,4.2708758381968185e-07
54,105,370,32.071428571428584,5.055165404447261e-07
55,89,2wd,32.071428571428584,5.055165404447261e-07
56,550,ford_focus,32.071428571428584,5.055165404447261e-07
57,362,chỉ_thực_sự,32.071428571428584,5.055165404447261e-07
58,398,cung,32.071428571428584,5.055165404447261e-07
59,13,107,32.071428571428584,5.055165404447261e-07
60,1561,đường_trường,32.071428571428584,5.055165404447261e-07
